F5;F7;F10;F9
102064;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102255;4L1081;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102255;4L1081;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102323;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102323;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102332;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102332;4L1081;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102382;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102382;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102388;4L1081;CONV LIQUIDACION SUBSIDIO OTRAS CAJAS-82015020  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102388;4L1081;CONV LIQUIDACION SUBSIDIO OTRAS CAJAS-82015020  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102404;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102404;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102446;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102446;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
100262;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
100262;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
100300;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
100300;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
100660;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
100660;4L1081;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101487;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101487;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102016;4L1082;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102016;4L1082;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102138;4L1082;SUBSIDIO PARA NO AFILIADOS - 21304  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102138;4L1082;SUBSIDIO PARA NO AFILIADOS - 21304  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102377;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102377;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102384;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102384;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102426;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102426;4L1082;PROGRAMAS VIVIENDA INTERES SOCIAL - 21302  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101123;4L1083;CONV LIQUIDACION SUBSIDIO OTRAS CAJAS-82015020  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101123;4L1083;CONV LIQUIDACION SUBSIDIO OTRAS CAJAS-82015020  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101198;4L1083;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
101198;4L1083;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102297;4L1083;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102297;4L1083;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
102442;4L1083;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
102442;4L1083;REGISTRO Y SUBSIDIO - 260  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
100389;4L1083;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;jul-18
100389;4L1083;FOSFEC - 20111  / CENTRO DE SERVICIOS Y DESARROLLO EMPRESA;ago-18
101770;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;jul-18
101770;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;ago-18
102013;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;jul-18
102013;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;ago-18
102056;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;jul-18
102056;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;ago-18
102421;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;jul-18
102421;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;ago-18
100084;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;jul-18
100084;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;ago-18
100162;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100162;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100163;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100163;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100164;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;jul-18
100164;5E1341;ESCENARIO TURCO Y SAUNA - 21802  / CALLE 94;ago-18
100176;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100176;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100187;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100187;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100399;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100399;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100573;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;jul-18
100573;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;ago-18
100618;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100618;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100668;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;jul-18
100668;5E1341;ESCENARIO PISCINAS - 21804  / CALLE 94;ago-18
100701;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100701;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100739;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100739;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100826;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100826;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100926;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100926;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100927;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;jul-18
100927;5E1341;ESCENARIO GIMNASIO - 21801  / CALLE 94;ago-18
100464;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CASA SUBA CRA 90 146B-17 ANTIGUA;jul-18
100464;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CASA SUBA CRA 90 146B-17 ANTIGUA;ago-18
100104;5E1341;ESCENARIO SALONES DEPORTIVOS- 21820  / CBI SOACHA-2575405;jul-18
100104;5E1341;ESCENARIO SALONES DEPORTIVOS- 21820  / CBI SOACHA-2575405;ago-18
101153;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;jul-18
101153;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;ago-18
101382;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;jul-18
101382;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;ago-18
100159;5E1341;ESCENARIO CANCHAS DE TENIS DE CAMPO - 21813  / CENTRO CAJICA;jul-18
100159;5E1341;ESCENARIO CANCHAS DE TENIS DE CAMPO - 21813  / CENTRO CAJICA;ago-18
100366;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO CAJICA;jul-18
100366;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO CAJICA;ago-18
100750;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;jul-18
100750;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;ago-18
100851;5E1341;ESCENARIO CANCHAS DE FUTBOL Y MINI - 21811  / CENTRO CAJICA;jul-18
100851;5E1341;ESCENARIO CANCHAS DE FUTBOL Y MINI - 21811  / CENTRO CAJICA;ago-18
100853;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;jul-18
100853;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;ago-18
100892;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;jul-18
100892;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO CAJICA;ago-18
101586;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
101586;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
102002;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
102002;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
102007;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
102007;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
102436;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
102436;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100054;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100054;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100131;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100131;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100420;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100420;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100424;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100424;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100425;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100425;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100498;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100498;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100531;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100531;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100589;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100589;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100645;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100645;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100671;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100671;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100691;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100691;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100767;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100767;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100780;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100780;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100786;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100786;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100790;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100790;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100792;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100792;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100792;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100823;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100823;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100823;5E1341;ESCENARIO SALONES EDUCATIVOS- 21819  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100846;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100846;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100846;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100868;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100868;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100868;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100893;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100893;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100893;5E1341;ESCENARIO GOLFITO - 21808  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
100958;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jul-18
100958;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);jun-18
100958;5E1341;ESCENARIO JUEGOS DE DESTREZA - 21817  / CENTRO DE ENTRETENIMIENTO FAMILIAR (CEF);ago-18
101341;5E1341;ESCENARIO GIMNASIO - 21801  / CENTRO URBANO DE RECREACION (CUR);jul-18
101341;5E1341;ESCENARIO GIMNASIO - 21801  / CENTRO URBANO DE RECREACION (CUR);jun-18
101341;5E1341;ESCENARIO GIMNASIO - 21801  / CENTRO URBANO DE RECREACION (CUR);ago-18
101362;5E1341;ESCENARIO BOLERA - 21810  / CENTRO URBANO DE RECREACION (CUR);jul-18
101362;5E1341;ESCENARIO BOLERA - 21810  / CENTRO URBANO DE RECREACION (CUR);jun-18
101362;5E1341;ESCENARIO BOLERA - 21810  / CENTRO URBANO DE RECREACION (CUR);ago-18
101457;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101457;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101457;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101596;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101596;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101596;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101728;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101728;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101728;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101810;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101810;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101810;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101841;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101841;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101841;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101906;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101906;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101906;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101929;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101929;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101929;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101938;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101938;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101938;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101953;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101953;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101953;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
101977;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
101977;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
101977;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
102065;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
102065;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
102065;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
102140;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
102140;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
102140;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
102365;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
102365;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
102365;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
102429;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
102429;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
102429;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
100036;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
100036;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
100036;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
100056;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
100056;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
100056;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
100057;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
100057;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
100057;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);ago-18
100068;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jul-18
100068;5E1341;ESCENARIO PISCINAS - 21804  / CENTRO URBANO DE RECREACION (CUR);jun-18
